"invoice_id","line_item_id","period_start_date","period_end_date","total_amount","canonical_line_item_id"
"0c210af7-6d61-4b5a-8bce-ab5910141432","31768c93-c6c5-48a4-b410-cf4133748fff",2020-11-30,2020-11-30,247.35,"0dea19cd-a7d5-4d3a-a20b-6d9f815dab1b"
"0c210af7-6d61-4b5a-8bce-ab5910141432",f701eae6-b394-4335-bace-b41aec8d216e,2020-11-30,2020-11-30,250.0,"0a613ae0-8bf5-4346-a933-433268792e37"
"0c210af7-6d61-4b5a-8bce-ab5910141432","25b99511-7ede-4e04-bce1-6b500c2f62b9",2020-11-30,2020-11-30,49.3,"0dea19cd-a7d5-4d3a-a20b-6d9f815dab1b"
"11992fde-f97f-444f-800b-4a0fbdeaa35b",a6d7e012-24ff-4cab-a511-2623972715c7,2020-05-07,2020-05-07,0.0,af802873-db3c-481c-8b81-66ba9d2acfb6
"11992fde-f97f-444f-800b-4a0fbdeaa35b","15213ff4-e59c-4e8a-a766-facd82d5c88a",2020-05-07,2020-05-07,0.0,af802873-db3c-481c-8b81-66ba9d2acfb6
"11992fde-f97f-444f-800b-4a0fbdeaa35b","2863b448-77cb-407e-aca3-69dca336fe0e",2020-05-07,2020-05-07,50.0,"1b98dc95-bc96-49df-86f7-4c5d51cf13c6"
"185464a1-d3b3-4843-857e-7d5142b611c3",bb0ad1b8-ee64-4f2c-9924-bf65fb5a5e86,2019-09-01,2019-09-30,1814.59,b29f1fde-db1f-4d7f-8e67-2ce6164da04d
"2f49ab4b-05fb-4eee-9f08-981884234867","6b067d28-e041-43fe-a63d-c1358b11941b",2020-12-10,2021-01-10,90.0,b02d9e41-98bd-4723-9594-f7d2bca310e2
"2f49ab4b-05fb-4eee-9f08-981884234867","12a8ed62-1e71-41be-bf6b-474201b1a4b4",2020-12-10,2021-01-10,20.8,ea6954cd-bca8-43d2-a473-70ecdb0d081f
"2f49ab4b-05fb-4eee-9f08-981884234867",ea8110db-01d9-4662-8043-08ff878c4a74,2020-12-10,2021-01-10,182.0,"374b9323-d541-430f-8083-7ad3ff1e5b5c"
"28cb2813-862f-4665-b0ba-b6d5331d7d01",d32a3f08-95b9-4925-ac83-c63adce973e0,2020-09-07,2020-09-07,0.0,af802873-db3c-481c-8b81-66ba9d2acfb6
"28cb2813-862f-4665-b0ba-b6d5331d7d01",ce3b4316-c95b-4b34-bf19-8368ce19a29d,2020-09-07,2020-09-07,0.0,af802873-db3c-481c-8b81-66ba9d2acfb6
"28cb2813-862f-4665-b0ba-b6d5331d7d01",ec93ae50-d6df-44b5-866b-2fb179209bb8,2020-09-07,2020-09-07,50.0,"1b98dc95-bc96-49df-86f7-4c5d51cf13c6"
"502faa70-b272-42c6-8f0d-c98694f12e93","90e2706a-2beb-43d3-8a59-2bf70d5a58de",2020-09-16,2020-09-16,250.0,"46a74ce5-b2fb-452e-b104-06d23909879a"
c0f0d896-1684-4f87-b90e-4617b9dc7dbf,"5056489f-db99-4b33-b69f-2889bd73501b",2020-07-17,2020-07-17,250.0,"46a74ce5-b2fb-452e-b104-06d23909879a"
c88b4727-23fc-4fd6-a28d-231f1d6ba4ea,"09fe8751-44c4-4560-9e1a-b03959bdef07",2020-06-23,2020-06-23,250.0,"46a74ce5-b2fb-452e-b104-06d23909879a"
"4b5eced6-3d7d-4b13-8851-accfbf434500",d333d29c-656a-404b-a845-1a572eee47f0,2020-08-18,2020-08-18,250.0,"46a74ce5-b2fb-452e-b104-06d23909879a"
"2a4a10dd-9741-498f-b089-4b0d49367a50","37c0a2dd-269e-4757-a744-8dc6b8fa1b5c",2019-10-31,2019-10-31,0.7,ebb66fe4-0474-4060-90b5-ec0c689fb9d8
"2a4a10dd-9741-498f-b089-4b0d49367a50","5fb4be45-3e9c-4dc3-894c-b94b311b8a1b",2019-10-31,2019-10-31,132.0,"493cfef6-89d0-4eb1-935b-e9fd0bd349b4"
